Animal-Animal ID,Animal-Birth ID,Animal-BW 1-Value,Animal-BW 1-Reliability,Animal-PW-Value,Animal-PW-Reliability,Animal-A2 Status,Animal-Calving Date,Pre-Calving-Expected Calving Date,Dam-Cow No.,Dam-Official ID,Sire-Name,Sire-Sire ID,Calf-Birth Date,Calf-BW 2-Value,Calf-BW 2-Reliability,Calf-Sex
1,HKYM-15-74,214,67,64,68,A2/A2,,06 Sep 2020,,FMD-08-39,LYNBROOK TERRIFIC ET S3J,309084,,,,
2,HKYM-17-79,206,53,155,50,A2/A2,29 Aug 2020,,,HKYM-13-27,WILLAND LT DYNAMO,311029,29 Aug 2020,267,35,F
3,HKYM-13-78,205,59,296,77,A2/A2,24 Aug 2020,,,FMD-11-119,HAYWARDS TGM AIM S3J,308103,24 Aug 2020,,,M
4,HKYM-13-236,179,60,86,77,A2/A2,,,,FMD-11-78,UPLAND PARK TS INDY S3J,311005,,,,
5,HKYM-17-78,213,54,199,50,A2/A2,29 Aug 2020,,323,HKYM-13-124,KELLAND KC SPEEDWAY,309012,29 Aug 2020,,,M
6,WTNG-14-21,198,58,281,69,A2/A2,,08 Oct 2020,,MQVR-11-42,HOWIES CHECKPOINT,508077,,,,
7,HKYM-15-35,220,51,262,67,A2/A2,02 Sep 2020,,90,MQVR-09-25,FREYDAN ISOLA PEDROZA,314524,02 Sep 2020,,,M
8,PQVV-13-80,193,56,340,71,A2/A2,25 Aug 2020,,,HJTQ-10-493,HOWIES CHECKPOINT,508077,25 Aug 2020,261,36,F
9,HKYM-17-59,215,55,331,51,A2/A2,29 Aug 2020,,,FMD-11-3,KELLAND KC SPEEDWAY,309012,29 Aug 2020,260,36,F
10,HKYM-14-206,240,67,261,75,A2/A2,24 Aug 2020,,,FMD-07-50,BONACORD MURMUR BOLT,313016,24 Aug 2020,,,M
11,WTNG-18-50,267,42,275,15,A2/A2,30 Aug 2020,,,FMD-11-223,BRAEDENE PAS TRIPLESTAR,313516,30 Aug 2020,,,M
12,HKYM-18-36,259,42,252,15,A2/A2,11 Aug 2020,,379,HKYM-15-172,BRAEDENE PAS TRIPLESTAR,313516,11 Aug 2020,,,M
13,HKYM-15-149,237,57,250,69,A2/A2,,06 Oct 2020,,FMD-11-25,PUKEROA TGM MANZELLO,308533,,,,
14,PQVV-12-38,167,54,175,71,A2/A2,18 Aug 2020,,,HJTQ-08-299,ARKANS BLOCKBUSTER,511028,18 Aug 2020,,,M
15,PQVV-15-63,192,54,241,64,A2/A2,25 Aug 2020,,,HJTQ-09-19,KELLAND KC SPEEDWAY,309012,25 Aug 2020,249,36,F
16,HKYM-14-49,209,58,223,72,A2/A2,23 Aug 2020,,,FMD-11-223,OKURA LIKA MURMUR S3J,306549,23 Aug 2020,257,37,F
17,HKYM-17-71,248,54,349,42,A2/A2,02 Sep 2020,,,FMD-11-63,LYNBROOK TERRIFIC ET S3J,309084,02 Sep 2020,,,M
18,HKYM-18-45,228,43,222,15,A2/A2,,,133,HKYM-14-134,BONACORD MURMUR BOLT,313016,,,,
19,PQVV-15-18,170,52,146,64,A2/A2,05 Aug 2020,,,HJTQ-09-475,TAWA GROVE KRC TANA,309030,05 Aug 2020,100,13,M
20,HKYM-14-114,214,58,257,72,A2/A2,,05 Sep 2020,,HJTQ-10-137,OKURA LIKA MURMUR S3J,306549,,,,
21,WTNG-18-37,219,43,205,15,A2/A2,26 Aug 2020,,,PKTY-11-29,BONACORD MURMUR BOLT,313016,26 Aug 2020,124,11,F
22,HKYM-14-115,235,58,377,72,A2/A2,,04 Sep 2020,,HJTQ-10-137,OKURA LIKA MURMUR S3J,306549,,,,
23,HKYM-12-135,166,58,216,76,A2/A2,,04 Sep 2020,,MRFT-10-138,UPLAND PARK TS INDY S3J,311005,,,,
24,PQVV-12-48,202,57,321,69,A2/A2,,31 Aug 2020,,HJTQ-03-209,ST PETERS OBSIDIAN,510016,,,,
25,HKYM-17-19,172,54,91,50,A2/A2,28 Aug 2020,,,FMD-11-148,LYNBROOK TERRIFIC ET S3J,309084,28 Aug 2020,244,35,F
26,HKYM-13-158,192,59,223,77,A2/A2,,30 Aug 2020,,FMD-08-24,UPLAND PARK TS INDY S3J,311005,,,,
27,HKYM-15-9,217,58,313,69,A2/A2,,24 Oct 2020,,FMD-08-10,PUKEROA TGM MANZELLO,308533,,,,
28,HKYM-18-102,269,40,230,15,A2/A2,01 Sep 2020,,22,HKYM-14-115,RUANUI TERRIFIC DALAS S3J,316033,01 Sep 2020,,,M
29,HKYM-16-47,179,55,236,57,A2/A2,,31 Aug 2020,,HKYM-13-27,KELLAND KC SPEEDWAY,309012,,,,
30,PQVV-14-56,167,53,307,65,A2/A2,,08 Sep 2020,,HJTQ-08-160,ARKANS PROMOTER,510003,,,,
31,PQVV-14-94,221,57,278,68,A2/A2,24 Aug 2020,,,HJTQ-11-18,HOWIES CHECKPOINT,508077,24 Aug 2020,,,M
32,PQVV-14-78,155,58,212,69,A2/A2,,23 Aug 2020,,HJTQ-08-328,HOWIES CHECKPOINT,508077,,,,
33,HKYM-16-150,253,57,318,63,A2/A2,01 Sep 2020,,97,HKYM-13-180,LYNBROOK TERRIFIC ET S3J,309084,01 Sep 2020,,,M
34,HKYM-16-39,175,56,133,63,A2/A2,31 Aug 2020,,,HKYM-13-85,KELLAND KC SPEEDWAY,309012,31 Aug 2020,,,M
35,HKYM-17-42,204,54,153,42,A2/A2,08 Sep 2020,,,HKYM-13-169,LYNBROOK TERRIFIC ET S3J,309084,08 Sep 2020,,,F
36,HKYM-15-94,215,57,426,69,A2/A2,31 Aug 2020,,,MQVR-10-67,PUKEROA TGM MANZELLO,308533,31 Aug 2020,,,M
37,HKYM-17-40,197,53,277,50,A2/A2,15 Aug 2020,,,HKYM-14-202,KELLAND KC SPEEDWAY,309012,15 Aug 2020,251,36,F
38,HKYM-15-190,270,57,216,69,A2/A2,27 Aug 2020,,,FMD-11-229,OKURA LT INTEGRITY,311013,27 Aug 2020,,,M
40,HKYM-12-121,205,52,273,74,A2/A2,,06 Sep 2020,,FMD-09-152,,FMD-10-186,,,,
41,HKYM-16-48,181,57,144,63,A2/A2,20 Aug 2020,,,FMD-09-59,KELLAND KC SPEEDWAY,309012,20 Aug 2020,,,M
42,HKYM-17-94,194,55,230,50,A2/A2,18 Aug 2020,,,HKYM-13-107,KELLAND KC SPEEDWAY,309012,18 Aug 2020,261,35,F
43,HKYM-18-74,236,43,232,15,A2/A2,19 Aug 2020,,,HKYM-12-124,BONACORD MURMUR BOLT,313016,19 Aug 2020,,,M
44,HKYM-17-4,208,55,131,51,A2/A2,06 Sep 2020,,,HKYM-13-143,LYNBROOK TERRIFIC ET S3J,309084,06 Sep 2020,,,M
45,HKYM-18-52,247,44,238,16,A2/A2,25 Aug 2020,,81,HKYM-14-170,BONACORD MURMUR BOLT,313016,25 Aug 2020,,,M
46,HKYM-15-159,267,56,471,67,A2/A2,,06 Oct 2020,,FMD-11-88,PUKEROA TGM MANZELLO,308533,,,,
47,WTNG-14-11,168,59,190,69,A2/A2,23 Aug 2020,,,MQVR-07-37,HOWIES CHECKPOINT,508077,23 Aug 2020,237,37,F
48,HKYM-14-101,204,57,285,72,A2/A2,,28 Aug 2020,,HJTQ-05-307,PUKEROA TGM MANZELLO,308533,,,,
49,HKYM-14-179,165,57,91,72,A2/A2,15 Aug 2020,,,PKTY-11-15,OKURA LIKA MURMUR S3J,306549,15 Aug 2020,235,37,M
50,HKYM-15-2,292,57,453,69,A2/A2,15 Aug 2020,,,HKYM-13-39,PUKEROA TGM MANZELLO,308533,15 Aug 2020,304,36,M
51,HKYM-16-126,187,57,79,63,A2/A2,,01 Sep 2020,,HJTQ-08-353,LYNBROOK TERRIFIC ET S3J,309084,,,,
52,PQVV-14-53,174,56,217,68,A2/A2,06 Sep 2020,,,HJTQ-11-39,HOWIES CHECKPOINT,508077,06 Sep 2020,254,36,F
53,HKYM-18-65,209,58,224,21,A2/A2,,01 Sep 2020,10,HKYM-14-206,FICHTL 5-STAR SULTAN S3J,313040,,,,
54,HKYM-14-27,197,55,276,70,A2/A2,,09 Sep 2020,,FMD-11-55,PUKEROA TGM MANZELLO,308533,,,,
55,HKYM-17-106,207,54,142,50,A2/A2,,12 Sep 2020,257,HKYM-14-73,PUHIPUHI CAPS GOLDIE S3J,309046,,,,
56,HKYM-14-11,175,58,104,72,A2/A2,,27 Aug 2020,,MQVR-07-59,OKURA LIKA MURMUR S3J,306549,,,,
57,HKYM-13-179,201,60,271,77,A2/A2,,27 Aug 2020,,FMD-05-80,UPLAND PARK TS INDY S3J,311005,,,,
58,HKYM-15-141,212,56,306,66,A2/A2,,03 Sep 2020,,FMD-11-41,LYNBROOK TERRIFIC ET S3J,309084,,,,
59,PQVV-12-83,217,57,320,71,A2/A2,06 Sep 2020,,,HJTQ-08-509,HOWIES CHECKPOINT,508077,06 Sep 2020,261,37,F
60,HKYM-18-91,255,42,263,15,A2/A2,21 Aug 2020,,,FMD-11-178,BRAEDENE PAS TRIPLESTAR,313516,21 Aug 2020,143,10,F
61,HKYM-18-22,201,46,220,16,A2/A2,31 Aug 2020,,,MQVR-10-29,ROMA MURMUR KINGPIN S3J,312501,31 Aug 2020,,,M
62,HKYM-18-75,292,41,295,15,A2/A2,,,,HKYM-14-88,BRAEDENE PAS TRIPLESTAR,313516,,,,
63,HKYM-18-73,250,41,242,15,A2/A2,15 Aug 2020,,,FMD-11-71,BRAEDENE PAS TRIPLESTAR,313516,15 Aug 2020,,,M
64,HKYM-18-80,254,41,264,15,A2/A2,28 Aug 2020,,292,HKYM-15-165,BRAEDENE PAS TRIPLESTAR,313516,28 Aug 2020,,,M
65,HKYM-16-163,201,56,78,63,A2/A2,,23 Aug 2020,,HKYM-12-25,LYNBROOK TERRIFIC ET S3J,309084,,,,
66,HKYM-18-126,257,40,225,15,A2/A2,26 Aug 2020,,,HKYM-15-178,RUANUI TERRIFIC DALAS S3J,316033,26 Aug 2020,144,10,F
68,PQVV-15-77,151,54,140,64,A2/A2,04 Sep 2020,,,HJTQ-09-5,KELLAND KC SPEEDWAY,309012,04 Sep 2020,,,M
69,HKYM-18-19,225,40,215,14,A2/A2,28 Aug 2020,,30,PQVV-14-56,OKURA OLM KAINO ET,313046,28 Aug 2020,,,M
70,WTNG-18-57,214,43,213,15,A2/A2,,,,HKYM-13-92,BONACORD MURMUR BOLT,313016,,,,
71,HKYM-17-15,229,55,236,50,A2/A2,,31 Aug 2020,,FMD-11-178,LYNBROOK TERRIFIC ET S3J,309084,,,,
72,HKYM-18-121,295,42,297,15,A2/A2,03 Sep 2020,,187,HKYM-15-57,BRAEDENE PAS TRIPLESTAR,313516,03 Sep 2020,284,32,F
73,HKYM-13-134,199,59,250,76,A2/A2,02 Sep 2020,,,HJTQ-07-48,UPLAND PARK TS INDY S3J,311005,02 Sep 2020,,,M
74,HKYM-15-194,276,57,435,69,A2/A2,05 Sep 2020,,,HKYM-12-192,PUKEROA TGM MANZELLO,308533,05 Sep 2020,296,36,F
75,FMD-11-213,129,60,102,77,A2/A2,,13 Sep 2020,,FMD-06-70,HAZAELS DELIGHT,510040,,,,
76,HKYM-15-54,199,57,303,69,A2/A2,,,,HKYM-12-93,PUKEROA TGM MANZELLO,308533,,,,
77,HKYM-15-166,249,58,200,69,A2/A2,26 Aug 2020,,,HKYM-12-54,ARRIETA NN DEGREE ET,308583,26 Aug 2020,283,36,F
78,HKYM-18-85,264,42,259,15,A2/A2,25 Aug 2020,,,HKYM-12-139,BRAEDENE PAS TRIPLESTAR,313516,25 Aug 2020,,,M
79,HKYM-18-30,186,43,167,15,A2/A2,28 Aug 2020,,369,MQVR-12-5,BELLS CM CONRAD S2J,312057,28 Aug 2020,,,M
80,HKYM-18-42,257,43,250,15,A2/A2,,,,HKYM-13-160,BONACORD MURMUR BOLT,313016,,,,
81,HKYM-14-170,230,60,245,73,A2/A2,01 Sep 2020,,,FMD-03-77,ARRIETA NN DEGREE ET,308583,01 Sep 2020,,,M
82,HKYM-15-67,241,57,290,67,A2/A2,,,,FMD-11-29,ARRIETA NN DEGREE ET,308583,,,,
83,HKYM-13-32,170,59,186,76,A2/A2,27 Aug 2020,,,FMD-11-45,TE ARANGA PCG JINGO,311027,27 Aug 2020,237,37,F
84,HKYM-18-31,238,42,256,15,A2/A2,16 Aug 2020,,,HKYM-13-169,BRAEDENE PAS TRIPLESTAR,313516,16 Aug 2020,135,11,F
85,HKYM-17-66,235,54,201,50,A2/A2,,26 Aug 2020,,HKYM-14-172,LYNBROOK TERRIFIC ET S3J,309084,,,,
86,MRFT-13-59,199,56,162,69,A2/A2,,05 Sep 2020,,MRFT-07-12,ATHLIAM PACEMAKER,512048,,,,
87,HKYM-14-165,215,57,198,70,A2/A2,,30 Oct 2020,444,FMD-11-70,OKURA LIKA MURMUR S3J,306549,,,,
88,HKYM-18-47,221,41,233,15,A2/A2,19 Aug 2020,,,WTNG-14-3,OKURA OLM KAINO ET,313046,19 Aug 2020,,,M
89,HKYM-18-20,245,44,281,16,A2/A2,23 Aug 2020,,31,PQVV-14-94,OKURA GOLDIE INDEX,312034,23 Aug 2020,138,11,F
90,MQVR-09-25,218,59,449,76,A2/A2,,01 Sep 2020,,HJTQ-06-341,DONALDS EDIFY,304132,,,,
91,HKYM-18-35,251,42,259,15,A2/A2,,,23,HKYM-12-135,BRAEDENE PAS TRIPLESTAR,313516,,,,
92,HKYM-15-4,248,57,332,69,A2/A2,,25 Aug 2020,,HKYM-13-96,PUKEROA TGM MANZELLO,308533,,,,
93,PQVV-13-34,201,57,333,71,A2/A2,23 Aug 2020,,,HJTQ-08-479,HOWIES CHECKPOINT,508077,23 Aug 2020,,,M
94,HKYM-18-43,235,43,252,15,A2/A2,01 Sep 2020,,,HKYM-15-167,BONACORD MURMUR BOLT,313016,01 Sep 2020,,,M
95,HKYM-12-43,207,60,59,76,A2/A2,,19 Aug 2020,,KQMC-08-7,OKURA LT INTEGRITY,311013,,,,
96,HKYM-17-69,177,54,192,50,A2/A2,,20 Aug 2020,83,HKYM-13-32,KELLAND KC SPEEDWAY,309012,,,,
97,HKYM-13-180,211,61,240,77,A2/A2,30 Aug 2020,,,FMD-04-113,PUKEROA TGM MANZELLO,308533,30 Aug 2020,270,37,F
98,HKYM-15-82,206,57,232,69,A2/A2,24 Aug 2020,,,FMD-11-185,PUKEROA TGM MANZELLO,308533,24 Aug 2020,,,M
99,HKYM-17-32,239,56,289,51,A2/A2,30 Aug 2020,,,FMD-09-198,LYNBROOK TERRIFIC ET S3J,309084,30 Aug 2020,284,36,F
100,HKYM-18-28,244,40,263,15,A2/A2,23 Aug 2020,,,HKYM-12-137,BRAEDENE PAS TRIPLESTAR,313516,23 Aug 2020,,,M
101,WTNG-14-49,151,55,73,68,A2/A2,,09 Oct 2020,,MQVR-11-58,HOWIES CHECKPOINT,508077,,,,
102,HKYM-18-83,261,44,282,15,A2/A2,04 Sep 2020,,220,WTNG-15-15,PRIESTS SIERRA,511011,04 Sep 2020,,,M
103,HKYM-13-71,201,63,218,78,A2/A2,,09 Oct 2020,,FMD-05-21,PUKEROA TGM MANZELLO,308533,,,,
104,MQVR-14-5,180,54,218,65,A2/A2,27 Jul 2020,,,HJTQ-07-191,ANNALYSER,509116,27 Jul 2020,291,38,F
105,HKYM-14-185,193,58,223,72,A2/A2,,12 Sep 2020,,HJTQ-08-158,OKURA LIKA MURMUR S3J,306549,,,,
106,HKYM-15-120,216,58,219,69,A2/A2,,,,MQVR-07-59,PUKEROA TGM MANZELLO,308533,,,,
107,HKYM-12-131,150,59,-4,76,A2/A2,,26 Aug 2020,,HJTQ-07-43,CRESCENT MAN DOMINIC ET,307514,,,,
108,HKYM-14-106,229,54,168,69,A2/A2,,31 Aug 2020,,HKYM-12-37,CENTRAL VALLEY GEORGE S3J,308080,,,,
109,HKYM-14-80,208,57,229,71,A2/A2,,27 Oct 2020,219,FMD-11-198,ARRIETA NN DEGREE ET,308583,,,,
110,HKYM-13-63,187,58,201,76,A2/A2,,02 Sep 2020,,HJTQ-10-467,WESTWARD HO BULLSEYE,310040,,,,
111,HKYM-14-181,166,57,50,71,A2/A2,04 Sep 2020,,,MQVR-09-52,PUKEROA TGM MANZELLO,308533,04 Sep 2020,236,37,F
112,HKYM-17-61,215,54,162,50,A2/A2,05 Sep 2020,,23,HKYM-12-135,LYNBROOK TERRIFIC ET S3J,309084,05 Sep 2020,275,35,F
113,HKYM-16-156,217,56,76,63,A2/A2,,13 Sep 2020,,HKYM-12-7,LYNBROOK TERRIFIC ET S3J,309084,,,,
115,PQVV-14-98,192,56,269,67,A2/A2,,09 Oct 2020,,HJTQ-10-502,HOWIES CHECKPOINT,508077,,,,
116,HKYM-15-99,244,66,217,72,A2/A2,,,141,HKYM-12-104,ARRIETA NN DEGREE ET,308583,,,,
117,HKYM-14-213,198,58,176,72,A2/A2,,04 Sep 2020,,FMD-08-126,ARRIETA NN DEGREE ET,308583,,,,
118,PQVV-15-37,197,53,263,64,A2/A2,05 Sep 2020,,,HJTQ-10-134,KELLAND KC SPEEDWAY,309012,05 Sep 2020,,,M
119,HJTQ-11-59,171,54,397,72,A2/A2,22 Aug 2020,,,HJTQ-04-197,BOURKES NN RPM ET,307026,22 Aug 2020,250,35,F
120,PQVV-12-71,160,58,431,72,A2/A2,01 Sep 2020,,,HJTQ-07-82,TANIWHA THUNDERBOLT,510007,01 Sep 2020,,,M
121,PQVV-14-95,137,53,185,66,A2/A2,17 Aug 2020,,,HJTQ-10-9,CUTFORTHS LORD BRIAN,506063,17 Aug 2020,233,35,F
123,PQVV-13-23,201,57,267,71,A2/A2,23 Aug 2020,,,HJTQ-10-132,ASHVALES DOUBLESHOT,512010,23 Aug 2020,,,M
124,HKYM-14-186,201,69,66,75,A2/A2,03 Sep 2020,,,FMD-05-89,KELLAND KC SPEEDWAY,309012,03 Sep 2020,253,40,M
125,MQVR-14-35,211,57,448,68,A2/A2,,26 Aug 2020,,MQVR-09-77,HOWIES CHECKPOINT,508077,,,,
126,HKYM-17-44,200,54,140,50,A2/A2,22 Aug 2020,,,HJTQ-10-181,LYNBROOK GG QUICKSILVER,312059,22 Aug 2020,,,M
127,PQVV-13-94,171,56,374,71,A2/A2,02 Sep 2020,,,HJTQ-03-104,AMBROSE SUPER STAN,509047,02 Sep 2020,101,14,F
128,HKYM-16-140,245,57,355,63,A2/A2,,27 Oct 2020,452,HKYM-12-39,LYNBROOK TERRIFIC ET S3J,309084,,,,
129,PQVV-14-36,195,56,309,64,A2/A2,,02 Sep 2020,,HJTQ-08-494,HOWIES CHECKPOINT,508077,,,,
130,HKYM-14-187,172,68,100,75,A2/A2,,12 Sep 2020,,FMD-08-39,LYNBROOK TERRIFIC ET S3J,309084,,,,
131,HKYM-15-201,206,56,286,68,A2/A2,,15 Sep 2020,,FMD-11-186,PUKEROA TGM MANZELLO,308533,,,,
132,PQVV-14-79,180,57,382,68,A2/A2,24 Aug 2020,,,HJTQ-11-120,HOWIES CHECKPOINT,508077,24 Aug 2020,113,14,F
133,HKYM-14-134,191,59,169,72,A2/A2,25 Aug 2020,,,JYTY-06-8,ARRIETA NN DEGREE ET,308583,25 Aug 2020,,,M
134,PQVV-15-27,229,52,351,63,A2/A2,02 Sep 2020,,,PQVV-12-95,WILLAND SIA DUETTO,310034,02 Sep 2020,267,35,F
135,HKYM-18-95,231,43,248,15,A2/A2,29 Aug 2020,,136,HKYM-12-74,BONACORD MURMUR BOLT,313016,29 Aug 2020,,,M
136,HKYM-12-74,198,59,264,76,A2/A2,22 Aug 2020,,,LKCT-04-39,BRAEMARK BULLION,511004,22 Aug 2020,252,37,F
137,HKYM-15-157,209,56,107,67,A2/A2,27 Jul 2020,,,FMD-11-187,ARRIETA NN DEGREE ET,308583,27 Jul 2020,303,36,F
138,WTNG-18-5,207,48,174,17,A2/A2,16 Aug 2020,,,MQVR-10-35,ROMA MURMUR KINGPIN S3J,312501,16 Aug 2020,119,12,F
140,HKYM-18-114,222,44,224,16,A2/A2,01 Sep 2020,,452,HKYM-12-39,BONACORD MURMUR BOLT,313016,01 Sep 2020,127,11,F
141,HKYM-12-104,225,59,521,73,A2/A2,,,,MQVR-10-29,LYNBROOK HTA TRIUMPH ET,310058,,,,
142,WTNG-18-9,235,42,228,15,A2/A2,16 Aug 2020,,,HKYM-14-93,BONACORD MURMUR BOLT,313016,16 Aug 2020,,,M
143,HKYM-16-16,199,56,245,63,A2/A2,,25 Oct 2020,103,HKYM-13-71,KELLAND KC SPEEDWAY,309012,,,,
144,PQVV-12-26,157,56,259,71,A2/A2,29 Aug 2020,,,HJTQ-07-1,ARKANS BLOCKBUSTER,511028,29 Aug 2020,,,M
145,HKYM-14-156,245,57,359,72,A2/A2,,25 Aug 2020,,FMD-11-190,PUKEROA TGM MANZELLO,308533,,,,
